Gene,P-Value,q-value,Fold Change,DEGs
ENSG00000266019.1,3.4729134190014734e-190,5.107225616178637e-189,-3.4627838011901018,DOWN
ENSG00000202538.1,9.52085856331267e-183,1.0774634176588411e-181,-3.3329004731739884,DOWN
ENSG00000252010.1,1.0201106629978163e-189,1.484288001716399e-188,-3.313042408362309,DOWN
ENSG00000212232.1,4.1714390901449836e-237,3.823819165966235e-235,-3.1948008780002426,DOWN
ENSG00000238741.1,1.2542280204255579e-183,1.4803120412748002e-182,-3.1127804203041536,DOWN
ENSG00000252835.1,1.7399011363200147e-188,2.40438599240203e-187,-3.0669756874597187,DOWN
ENSG00000207008.1,2.4919466586033053e-203,5.959002879268774e-202,-3.059046807807586,DOWN
ENSG00000200795.1,1.3862278704286889e-183,1.6291139502901257e-182,-2.962436422948702,DOWN
ENSG00000208892.1,4.715575786138528e-203,1.1083618300752952e-201,-2.900398824620016,DOWN
ENSG00000200087.1,2.8205623300609828e-182,3.1403021893391504e-181,-2.8172894176788263,DOWN
ENSG00000200156.1,1.73432096543449e-184,2.1197256244199323e-183,-2.7496225120804674,DOWN
ENSG00000199568.1,3.097761412607906e-187,4.076001858694613e-186,-2.647046262208626,DOWN
ENSG00000239039.1,2.2111694905765908e-185,2.7639618632207387e-184,-2.636809064782299,DOWN
ENSG00000201098.1,2.8880380637691042e-161,1.9370987013085458e-160,-2.6350721697284865,DOWN
ENSG00000168298.7,4.4320724679424175e-231,2.9019522111527734e-229,-2.624530844456056,DOWN
ENSG00000251791.1,1.0595733356214541e-182,1.1941912594094258e-181,-2.5679163073323843,DOWN
ENSG00000197061.5,1.7395577560825968e-218,7.24815731701082e-217,-2.55783380514361,DOWN
ENSG00000212464.1,8.088711465735212e-194,1.3162104456078009e-192,-2.5519936027489694,DOWN
ENSG00000201998.1,1.2579605633970886e-211,4.06987241099058e-210,-2.533668729497368,DOWN
ENSG00000200959.1,3.5936680410062387e-211,1.1104030463783321e-209,-2.453467611539949,DOWN
ENSG00000278705.1,8.979418946721811e-210,2.545711557060307e-208,-2.396960804778142,DOWN
ENSG00000212443.1,5.799644444546702e-202,1.340253968277599e-200,-2.3905598902995866,DOWN
ENSG00000278771.1,3.407517913608461e-156,2.124869447261512e-155,-2.3762910726398028,DOWN
ENSG00000212402.1,2.1427496759051505e-185,2.6906674012507597e-184,-2.345780525566899,DOWN
ENSG00000207233.1,1.9162557059265607e-206,4.834590083759671e-205,-2.261693300115334,DOWN
ENSG00000286522.2,3.5315279805712886e-215,1.367845344587471e-213,-2.2531449961732846,DOWN
ENSG00000124575.7,2.018450062737481e-223,9.912031558085845e-222,-2.234204135677797,DOWN
ENSG00000202058.1,4.764582167566624e-191,7.199231297147373e-190,-2.208904419452365,DOWN
ENSG00000222489.1,9.387432020232397e-174,8.300783940719965e-173,-2.1831256687729024,DOWN
ENSG00000200792.1,6.736718250297019e-188,9.081360386429805e-187,-2.161034580429043,DOWN
ENSG00000277157.2,4.5788732733318035e-227,2.6233128128463455e-225,-2.158261100258275,DOWN
ENSG00000263740.2,2.6022617660457726e-157,1.6565323742189526e-156,-2.1389824662221453,DOWN
ENSG00000225630.1,2.2827202597623594e-201,5.0219845714771906e-200,2.127403488680327,UP
ENSG00000184357.5,4.010689107604713e-198,7.554380168433535e-197,-2.1198677385761444,DOWN
ENSG00000265727.2,1.252668451053443e-196,2.2663409476295846e-195,-2.086822066053505,DOWN
ENSG00000277775.2,7.514014963646041e-233,5.298343884622208e-231,-2.075841807372446,DOWN
ENSG00000207445.1,7.396088078349644e-188,9.921581568517817e-187,-2.0666073839281793,DOWN
ENSG00000200488.1,1.282472596819119e-197,2.3829727305760657e-196,-2.0656024721566593,DOWN
ENSG00000277918.1,2.6333720420173524e-166,1.926003488177585e-165,-2.0589671639349514,DOWN
ENSG00000274997.2,3.3551175221645806e-208,9.13522097619069e-207,-2.0360805574281673,DOWN
ENSG00000207088.1,1.8182057824983119e-181,1.968529882626125e-180,-2.0281339385487978,DOWN
