Gene,P-Value,q-value,Fold Change,DEGs
ENSG00000266019.1,2.6229213767446143e-266,7.002945423347271e-265,4.168775087892605,UP
ENSG00000202538.1,5.559492383094089e-266,1.4700580820681484e-264,4.075953100994847,UP
ENSG00000252010.1,3.566279837278447e-280,1.3253066962859094e-278,4.066475874986765,UP
ENSG00000238741.1,1.724836646094796e-267,4.791212905818878e-266,3.8071720292837226,UP
ENSG00000252835.1,1.388827578275945e-271,4.291321168830167e-270,3.732218107476522,UP
ENSG00000200795.1,2.2589825320623965e-287,1.0183937644543592e-285,3.7183598206615835,UP
ENSG00000200087.1,4.66895e-318,2.91809375e-316,3.6740099453413646,UP
ENSG00000212232.1,1.4216753647911901e-273,4.442735514972469e-272,3.562721553165994,UP
ENSG00000207008.1,2.2985535959118137e-242,4.270961073484789e-241,3.462504197294371,UP
ENSG00000278771.1,0.0,1e-320,3.3895306914706707,UP
ENSG00000208892.1,5.790951300291801e-256,1.263898101254163e-254,3.352350724668608,UP
ENSG00000201098.1,4.446236728876497e-241,7.88848451897443e-240,3.27165443662151,UP
ENSG00000200156.1,3.510320690079707e-242,6.435587931812796e-241,3.235189924299639,UP
ENSG00000239039.1,1.956639139328986e-258,4.559964095893823e-257,3.172281218880861,UP
ENSG00000251791.1,1.4595097487040059e-270,4.3626650097130614e-269,3.1603365732147113,UP
ENSG00000212464.1,2.8591174432600624e-288,1.3326394862652833e-286,3.137235063771232,UP
ENSG00000199568.1,2.813809377526811e-250,5.64815750963411e-249,3.1342804984352712,UP
ENSG00000197061.5,5.512348137e-315,3.29542551687e-313,3.0932173685391096,UP
ENSG00000286522.2,0.0,1e-320,3.083204891389328,UP
ENSG00000168298.7,9.868885176628703e-305,5.4614433766463694e-303,3.070810819045744,UP
ENSG00000201998.1,1.7852430835076622e-293,8.766818713653697e-292,3.0270634721301413,UP
ENSG00000184357.5,0.0,1e-320,2.992357743994303,UP
ENSG00000278705.1,0.0,1e-320,2.9774829413803126,UP
ENSG00000200959.1,6.273470800840043e-304,3.3827538631980623e-302,2.9698793952025775,UP
ENSG00000200792.1,0.0,1e-320,2.9287220018620417,UP
ENSG00000274997.2,0.0,1e-320,2.8638675649443543,UP
ENSG00000212402.1,7.433963465462473e-264,1.8929073638909078e-262,2.843681795944878,UP
ENSG00000212443.1,2.3946079775840677e-262,5.93258733185242e-261,2.794224572436208,UP
ENSG00000263740.2,9.075202332048254e-267,2.4709709319933364e-265,2.7863149442301958,UP
ENSG00000222489.1,1.5967132178652758e-261,3.920501204579918e-260,2.7087552340279024,UP
ENSG00000207233.1,1.1608393745206886e-279,4.200405631489334e-278,2.6822322015869693,UP
ENSG00000124575.7,2.89048492305e-312,1.6560069871637e-310,2.6706147389489696,UP
ENSG00000287080.2,0.0,1e-320,2.6629141000834022,UP
ENSG00000277157.2,0.0,1e-320,2.631177638608517,UP
ENSG00000275379.2,0.0,1e-320,2.5814364366598377,UP
ENSG00000278588.2,0.0,1e-320,2.5786544877323117,UP
ENSG00000200488.1,2.641401385512317e-294,1.3207006927561585e-292,2.538158796346197,UP
ENSG00000184270.6,0.0,1e-320,2.5206232951559584,UP
ENSG00000277775.2,0.0,1e-320,2.511519932173867,UP
ENSG00000207445.1,6.067744469358155e-269,1.7564523463931501e-267,2.509341364558853,UP
ENSG00000276368.2,0.0,1e-320,2.492435915968607,UP
ENSG00000278637.2,0.0,1e-320,2.4877489078915787,UP
ENSG00000252213.1,0.0,1e-320,2.486553591194515,UP
ENSG00000274641.2,0.0,1e-320,2.483979999384812,UP
ENSG00000275126.2,0.0,1e-320,2.470582352485736,UP
ENSG00000200312.1,4.1113208574182484e-282,1.5924130081549554e-280,2.463581586176145,UP
ENSG00000201343.1,9.7e-322,6.6575e-320,2.4576549247184984,UP
ENSG00000265727.2,2.8687650780704183e-255,6.068541511302808e-254,2.4406101091851555,UP
ENSG00000202058.1,8.189584553220376e-213,9.665818678693578e-212,2.438345217832718,UP
ENSG00000278463.2,0.0,1e-320,2.407108649626128,UP
ENSG00000276410.4,0.0,1e-320,2.4049427564230617,UP
ENSG00000277918.1,4.1623747240290044e-212,4.870864038757346e-211,2.4024781386815115,UP
ENSG00000200816.1,0.0,1e-320,2.3989221407466434,UP
ENSG00000265735.2,1.199898051458184e-280,4.523162627090254e-279,2.392281642547061,UP
ENSG00000207088.1,1.7732907299961872e-239,3.06701226886133e-238,2.3922157968464206,UP
ENSG00000184260.6,3.494138277665415e-288,1.6014800439299818e-286,2.374606422178534,UP
ENSG00000274618.2,3.1380233135292207e-251,6.392269712744709e-250,2.3599880101492747,UP
ENSG00000270722.1,1.5e-322,1.045e-320,2.3436733319016954,UP
ENSG00000185130.5,0.0,1e-320,2.3232721420787485,UP
ENSG00000276903.2,0.0,1e-320,2.321651050734755,UP
ENSG00000221676.1,4.673659281457924e-232,7.100863549176405e-231,2.2760289973480825,UP
ENSG00000201793.1,9.744226850233284e-283,3.940679976197284e-281,2.2713325850145427,UP
ENSG00000196747.4,0.0,1e-320,2.26794536604337,UP
ENSG00000201428.1,2.8003533424819117e-258,6.4714047830464345e-257,2.2429451184615137,UP
ENSG00000273703.2,0.0,1e-320,2.2354160471666358,UP
ENSG00000206633.1,8.731699424590709e-274,2.7600199330602817e-272,2.2254919141271134,UP
ENSG00000263934.5,6.72148232524811e-236,1.080940140025281e-234,2.1887522760352884,UP
ENSG00000200882.1,0.0,1e-320,2.1804461917824174,UP
ENSG00000264678.1,2.5466498736840448e-285,1.1116328813700194e-283,2.177318158380994,UP
ENSG00000271394.1,2.184804802137826e-255,4.693916567092986e-254,2.1334148044377352,UP
ENSG00000201592.1,2.9277149458464907e-274,9.472018942444528e-273,2.119900679048159,UP
ENSG00000200169.1,4.157306183989996e-214,5.0363841436002155e-213,2.1076907024826412,UP
ENSG00000274115.1,2.6155390135745025e-237,4.30702532175442e-236,2.1027358193945003,UP
ENSG00000221962.5,1.5124439688490307e-216,1.9166916655920895e-215,2.089135173719774,UP
ENSG00000257979.1,1.6028254171723221e-226,2.2957134881374406e-225,2.0831317331952217,UP
ENSG00000272533.1,1.9859704375678835e-241,3.593038620599789e-240,2.058124772735838,UP
ENSG00000276966.2,1.1118641554905113e-219,1.498836484117111e-218,2.053644758797064,UP
ENSG00000275714.2,0.0,1e-320,2.0482910515511006,UP
ENSG00000239437.3,1.2554632920210481e-260,3.0285298711034057e-259,2.046182302544537,UP
ENSG00000207344.1,5.701456103217574e-295,2.903519311823765e-293,2.039782105477278,UP
ENSG00000206634.1,2.039572195972014e-288,9.670385411936273e-287,2.026553377760865,UP
ENSG00000208772.1,3.1647576453059964e-193,2.798419139740029e-192,2.0233640342946897,UP
ENSG00000225630.1,2.0931432055969986e-153,1.065952558405879e-152,-2.012146927701512,DOWN
ENSG00000243398.3,1.4938994026276466e-258,3.511302014723101e-257,2.006992320727006,UP
ENSG00000183598.4,0.0,1e-320,2.0064833471576895,UP
ENSG00000238961.1,3.0782401681745603e-189,2.572997101057763e-188,1.982880580508497,UP
ENSG00000252947.1,8.97094963415421e-285,3.7954017682960116e-283,1.9609721496101777,UP
ENSG00000288667.1,3.076224532513223e-212,3.6152211386373348e-211,1.9574499955237479,UP
ENSG00000252906.1,7.462136223579083e-270,2.206545657509944e-268,1.9469620506415493,UP
ENSG00000207217.1,0.0,1e-320,1.922860879755206,UP
ENSG00000207493.1,2.223907697555113e-264,5.76957185686468e-263,1.919687077836723,UP
ENSG00000263813.1,5.495886616796809e-248,1.0795491568708017e-246,1.9153735332987507,UP
