Gene,P-Value,q-value,Fold Change,DEGs
ENSG00000186081.12,0.0,1e-320,4.823278055756619,UP
ENSG00000205420.11,0.0,1e-320,4.5140234036010485,UP
ENSG00000186847.6,0.0,1e-320,3.4705542301220307,UP
ENSG00000185479.6,0.0,1e-320,3.4197642611842634,UP
ENSG00000128422.17,0.0,1e-320,3.414176399493234,UP
ENSG00000186832.9,0.0,1e-320,3.408069429398045,UP
ENSG00000134757.5,0.0,1e-320,3.3614816459569328,UP
ENSG00000169474.4,0.0,1e-320,3.2568741562815298,UP
ENSG00000081277.13,0.0,1e-320,3.2548120431001264,UP
ENSG00000169469.9,4.0208421073931704e-287,2.256595060271677e-285,3.2154898219252703,UP
ENSG00000241794.2,0.0,1e-320,3.1657385398072204,UP
ENSG00000171401.15,0.0,1e-320,3.0954403559052857,UP
ENSG00000266019.1,5.116920902283931e-111,2.4387404646933813e-110,-3.024002961265886,DOWN
ENSG00000134762.17,0.0,1e-320,2.986071564701883,UP
ENSG00000137975.8,0.0,1e-320,2.9750804352767433,UP
ENSG00000252010.1,6.184154045906446e-114,3.092077022953223e-113,-2.9298457041026817,DOWN
ENSG00000196754.13,2.2626236546706798e-296,1.4141397841691749e-294,2.9262297234470904,UP
ENSG00000073282.14,0.0,1e-320,2.903159872090041,UP
ENSG00000124102.5,1.2345432652526722e-277,6.062489249008658e-276,2.8760685515166204,UP
ENSG00000202538.1,1.3416567227133496e-102,5.308713651024045e-102,-2.8548886791279626,DOWN
ENSG00000238741.1,2.9964763357397384e-118,1.648061984656856e-117,-2.8357985996546247,DOWN
ENSG00000206075.14,0.0,1e-320,2.8018593542723176,UP
ENSG00000137699.17,0.0,1e-320,2.7577425205993658,UP
ENSG00000252835.1,2.3975463125499652e-106,1.009686425652742e-105,-2.6367219672622797,DOWN
ENSG00000163331.12,0.0,1e-320,2.630055711484291,UP
ENSG00000163209.15,3.5716270992007245e-268,1.4659663466868645e-266,2.6263297291453824,UP
ENSG00000143556.9,8.06475112213989e-238,2.2630679169270095e-236,2.521514842953162,UP
ENSG00000200795.1,1.6849120041971522e-99,6.253047249044762e-99,-2.497867141901387,DOWN
ENSG00000163216.7,2.4140887915321726e-263,9.621368372048514e-262,2.487506173289569,UP
ENSG00000133636.11,1.096948484452475e-173,1.5235395617395486e-172,2.476482773126246,UP
ENSG00000198074.10,1.35905817459179e-144,1.1394542622339703e-143,2.464358770671304,UP
ENSG00000200087.1,1.639473123180155e-106,6.92557770928637e-106,-2.456915769431784,DOWN
ENSG00000189280.3,0.0,1e-320,2.4491847286870856,UP
ENSG00000201098.1,1.818620250055479e-109,8.447982580494202e-109,-2.447117505601259,DOWN
ENSG00000121742.19,0.0,1e-320,2.441488168215387,UP
ENSG00000207008.1,6.22946792885891e-96,2.0993917652404414e-95,-2.4348387182154143,DOWN
ENSG00000171346.16,1.5987972153385005e-274,7.713495337159433e-273,2.4284826606188807,UP
ENSG00000124466.9,9.36872560720009e-309,6.606152671743653e-307,2.397093905744143,UP
ENSG00000196344.11,1.0270356238570322e-270,4.555399944527159e-269,2.363603819127635,UP
ENSG00000087494.16,0.0,1e-320,2.351731656132026,UP
